Time, Mote 1 Rx Signal, Mote 2 Rx Signal
0.002440, 1,1
0.004880, 1,1
0.007320, 1,1
0.009760, 1,1
0.012200, 1,1
0.014640, 1,1
0.017080, 1,1
0.019520, 1,1
0.021960, 1,1
0.024400, 1,1
0.026840, 1,1
0.029280, 1,1
0.031720, 1,1
0.034160, 1,1
0.036600, 1,1
0.039040, 1,1
0.041480, 1,1
0.043920, 1,1
0.046360, 1,1
0.048800, 1,1
0.051240, 1,1
0.053680, 1,1
0.056120, 1,1
0.058560, 1,1
0.061000, 1,1
0.063440, 1,1
0.065880, 1,1
0.068320, 1,1
0.070760, 1,1
0.073200, 1,1
0.075640, 1,1
0.078080, 1,1
0.080520, 1,1
0.082960, 1,1
0.085400, 1,1
0.087840, 1,1
0.090280, 1,1
0.092720, 1,1
0.095160, 1,1
0.097600, 1,1
0.100040, 1,1
0.102480, 1,1
0.104920, 1,1
0.107360, 1,1
0.109800, 1,1
0.112240, 1,1
0.114680, 1,1
0.117120, 1,1
0.119560, 1,1
0.122000, 1,1
0.124440, 1,1
0.126880, 1,1
0.129320, 1,1
0.131760, 1,1
0.134200, 1,1
0.136640, 1,1
0.139080, 1,1
0.141520, 1,1
0.143960, 1,1
0.146400, 1,1
0.148840, 1,1
0.151280, 1,1
0.153720, 1,1
0.156160, 1,1
0.158600, 1,1
0.161040, 1,1
0.163480, 1,1
0.165920, 1,1
0.168360, 1,1
0.170800, 1,1
0.173240, 1,1
0.175680, 1,1
0.178120, 1,1
0.180560, 1,1
0.183000, 1,1
0.185440, 1,1
0.187880, 1,1
0.190320, 1,1
0.192760, 1,1
0.195200, 1,1
0.197640, 1,1
0.200080, 1,1
0.202520, 1,1
0.204960, 1,1
0.207400, 1,1
0.209840, 1,1
0.212280, 1,1
0.214720, 1,1
0.217160, 1,1
0.219600, 1,1
0.222040, 1,1
0.224480, 1,1
0.226920, 1,1
0.229360, 1,1
0.231800, 1,1
0.234240, 1,1
0.236680, 1,1
0.239120, 1,1
0.241560, 1,1
0.244000, 1,1
0.246440, 1,1
0.248880, 1,1
0.251320, 1,1
0.253760, 1,1
0.256200, 1,1
0.258640, 1,1
0.261080, 1,1
0.263520, 1,1
0.265960, 1,1
0.268400, 1,1
0.270840, 1,1
0.273280, 1,1
0.275720, 1,1
0.278160, 1,1
0.280600, 1,1
0.283040, 1,1
0.285480, 1,1
0.287920, 1,1
0.290360, 1,1
0.292800, 1,1
0.295240, 1,1
0.297680, 1,1
